Name,Website,AngelList URL
Osman Ahmed Osman,http://foundercollective.com/,https://angel.co/osman-ahmed-osman
Eric Paley,http://foundercollective.com/,https://angel.co/epaley
Katherine O'Neil,http://foundercollective.com/,https://angel.co/katherine-o-neil
Nathaniel Naddaff-Hafrey,http://foundercollective.com/,https://angel.co/nathaniel-naddaff-hafrey
Gaurav Jain,http://foundercollective.com/,https://angel.co/gaurav-jain-1
Zach Klein,http://foundercollective.com/,https://angel.co/zachklein
Scott Heiferman,http://foundercollective.com/,https://angel.co/heif
Bill Trenchard,http://foundercollective.com/,https://angel.co/billtrenchard
Chris Dixon,http://foundercollective.com/,https://angel.co/cdixon
David Bill,http://www.freestyle.vc/,https://angel.co/dsb
Jenny Lefcourt,http://www.freestyle.vc/,https://angel.co/jenny-lefcourt
Dave Samuel,http://www.freestyle.vc/,https://angel.co/dsamuel
Josh Felser,http://www.freestyle.vc/,https://angel.co/joshmedia
Ted Getten,http://www.freestyle.vc/,https://angel.co/ted-getten
Molly Anawalt,http://www.freestyle.vc/,https://angel.co/molly-anawalt
Natasha Pecor,http://www.freestyle.vc/,https://angel.co/npecor
Jonathan Lee,http://www.freestyle.vc/,https://angel.co/jonathan-lee
Matt Mullenweg,,https://angel.co/photomatt
Jason Calacanis,,https://angel.co/jason
Michael Marquez,,https://angel.co/marquez
Alex Gezelius,,https://angel.co/gezelius
Fritz Lanman,,https://angel.co/fritzanity
Lane Becker,,https://angel.co/lane
Josh Stylman,,https://angel.co/jstylman
Peter Hershberg,,https://angel.co/hershberg
Nimi Katragadda,http://www.boxgroupnyc.com,https://angel.co/nimi-katragadda
Heston Berkman,http://www.boxgroupnyc.com,https://angel.co/hberkman
Greg Rosen,http://www.boxgroupnyc.com,https://angel.co/grosen
Miriam Ryan,http://www.boxgroupnyc.com,https://angel.co/miriam-ryan
Ken Pelletier,,https://angel.co/pelletk
Patrick Keane,,https://angel.co/phkeane
John Maloney,,https://angel.co/john-maloney1
Christopher Muscarella,,https://angel.co/cm
